,user,num_of_hits,total_seconds
198,115.164.168.177,1,0.0
199,115.164.168.20,1,0.0
200,115.164.168.203,1,0.0
201,115.164.168.247,1,0.0
202,115.164.168.33,4,63.0
203,115.164.169.167,1,0.0
204,115.164.169.254,1,0.0
205,115.164.171.114,2,7.0
206,115.164.171.2,1,0.0
207,115.164.171.29,2,5.0
208,115.164.171.78,2,39.0
209,115.164.171.88,1,0.0
210,115.164.172.113,1,0.0
211,115.164.174.193,1,0.0
212,115.164.175.0,1,0.0
213,115.164.175.254,2,6.0
214,115.164.175.52,1,0.0
215,115.164.178.190,1,0.0
216,115.164.178.221,1,0.0
217,115.164.178.97,1,0.0
218,115.164.179.231,1,0.0
219,115.164.180.141,1,0.0
220,115.164.180.201,2,7.0
221,115.164.180.242,1,0.0
222,115.164.181.106,1,0.0
223,115.164.181.147,2,14832.0
224,115.164.183.171,1,0.0
225,115.164.183.82,1,0.0
226,115.164.183.99,6,8680.0
227,115.164.185.215,1,0.0
228,115.164.185.56,1,0.0
229,115.164.185.77,1,0.0
230,115.164.186.24,1,0.0
231,115.164.187.214,1,0.0
232,115.164.188.36,45,192831.0
233,115.164.189.155,1,0.0
234,115.164.189.202,1,0.0
235,115.164.190.4,1,0.0
236,115.164.191.26,40,335.0
237,115.164.200.10,1,0.0
238,115.164.200.193,1,0.0
239,115.164.200.212,1,0.0
240,115.164.200.80,1,0.0
241,115.164.201.112,2,4.0
242,115.164.201.169,1,0.0
243,115.164.201.243,2,3.0
244,115.164.203.21,1,0.0
245,115.164.204.177,1,0.0
246,115.164.206.203,1,0.0
247,115.164.206.21,1,0.0
248,115.164.206.38,4,7.0
249,115.164.207.156,1,0.0
250,115.164.208.38,1,0.0
251,115.164.209.140,1,0.0
252,115.164.209.170,1,0.0
253,115.164.209.88,1,0.0
254,115.164.210.5,1,0.0
255,115.164.210.93,2,3.0
256,115.164.211.222,2,14.0
257,115.164.212.18,1,0.0
258,115.164.212.91,1,0.0
259,115.164.212.93,2,3.0
260,115.164.214.59,1,0.0
261,115.164.215.148,1,0.0
262,115.164.215.152,2,3.0
263,115.164.215.188,1,0.0
264,115.164.215.199,2,4.0
265,115.164.215.4,1,0.0
266,115.164.216.108,2,4.0
267,115.164.216.225,1,0.0
268,115.164.216.254,1,0.0
269,115.164.216.52,1,0.0
270,115.164.217.102,1,0.0
271,115.164.217.197,1,0.0
272,115.164.217.47,1,0.0
273,115.164.219.102,1,0.0
274,115.164.219.14,2,6.0
275,115.164.220.44,1,0.0
276,115.164.220.71,1,0.0
277,115.164.221.138,1,0.0
278,115.164.221.36,2,6.0
279,115.164.221.49,1,0.0
280,115.164.222.121,1,0.0
281,115.164.222.243,1,0.0
282,115.164.222.32,1,0.0
283,115.164.223.248,1,0.0
284,115.164.223.52,1,0.0
285,115.164.40.19,1,0.0
286,115.164.40.3,2,15.0
287,115.164.40.32,1,0.0
288,115.164.41.253,1,0.0
289,115.164.41.31,4,184.0
290,115.164.42.137,2,7.0
291,115.164.42.223,2,9.0
292,115.164.42.230,1,0.0
293,115.164.43.100,1,0.0
294,115.164.44.173,1,0.0
295,115.164.45.251,2,17.0
296,115.164.46.137,1,0.0
297,115.164.46.14,1,0.0
298,115.164.46.196,2,1.0
299,115.164.46.24,54,16922.0
300,115.164.48.164,1,0.0
301,115.164.49.118,1,0.0
302,115.164.50.75,1,0.0
303,115.164.52.142,2,4.0
304,115.164.52.151,1,0.0
305,115.164.52.152,2,5.0
306,115.164.52.239,1,0.0
307,115.164.52.35,2,1.0
308,115.164.54.104,1,0.0
309,115.164.54.49,3,533.0
310,115.164.56.90,1,0.0
311,115.164.58.147,1,0.0
312,115.164.59.133,1,0.0
313,115.164.59.93,1,0.0
314,115.164.60.199,2,102.0
315,115.164.60.207,1,0.0
316,115.164.61.3,1,0.0
317,115.164.61.66,1,0.0
318,115.164.62.101,1,0.0
319,115.164.62.47,2,15.0
320,115.164.72.194,1,0.0
321,115.164.72.33,2,7.0
322,115.164.72.49,1,0.0
323,115.164.73.143,1,0.0
324,115.164.73.175,1,0.0
325,115.164.73.58,1,0.0
326,115.164.74.182,1,0.0
327,115.164.74.224,1,0.0
328,115.164.74.226,1,0.0
329,115.164.75.155,2,8.0
330,115.164.76.24,1,0.0
331,115.164.76.99,1,0.0
332,115.164.77.131,1,0.0
333,115.164.77.250,1,0.0
334,115.164.78.135,2,11.0
335,115.164.78.42,1,0.0
336,115.164.79.228,1,0.0
337,115.164.79.81,1,0.0
338,115.164.79.85,1,0.0
339,115.164.80.6,1,0.0
340,115.164.81.123,2,6.0
341,115.164.82.160,4,57.0
342,115.164.82.8,2,5.0
343,115.164.83.226,1,0.0
344,115.164.84.124,1,0.0
345,115.164.84.30,1,0.0
346,115.164.84.72,1,0.0
347,115.164.85.243,2,5.0
348,115.164.85.248,2,31.0
349,115.164.86.84,1,0.0
350,115.164.89.91,1,0.0
351,115.164.90.178,1,0.0
352,115.164.90.183,1,0.0
353,115.164.91.207,1,0.0
354,115.164.92.142,1,0.0
355,115.164.92.182,1,0.0
356,115.164.93.121,1,0.0
357,115.164.93.219,1,0.0
358,115.164.94.133,1,0.0
359,115.164.95.41,1,0.0
360,118.100.103.72,1,0.0
361,118.100.112.198,1,0.0
362,118.100.128.169,2,2.0
363,118.100.139.193,2,5.0
364,118.100.164.253,2,4.0
365,118.100.165.166,1,0.0
366,118.100.167.242,1,0.0
367,118.100.167.29,1,0.0
368,118.100.206.239,3,169212.0
369,118.100.210.14,2,2.0
370,118.100.244.103,4,148191.0
371,118.100.247.183,1,0.0
372,118.100.247.36,1,0.0
373,118.100.247.99,2,10.0
374,118.100.90.186,1,0.0
375,118.100.90.250,32,154.0
376,118.100.90.84,36,93.0
377,118.100.91.35,5,29187.0
378,118.101.141.92,1,0.0
379,118.101.161.140,6,105678.0
380,118.101.198.237,2,2.0
381,118.101.30.45,41,1798.0
382,118.101.46.23,1,0.0
383,118.101.60.159,1,0.0
384,118.101.78.252,2,2.0
385,118.163.203.105,1,0.0
386,119.40.126.228,38,481119.0
387,119.40.126.229,12,303503.0
388,121.121.53.23,2,2.0
389,121.121.56.76,2,3.0
390,121.122.126.24,102,6549.0
391,121.122.127.176,2,225875.0
392,121.122.89.65,2,4.0
393,121.123.22.74,1,0.0
394,121.123.49.123,64,2837.0
395,124.13.110.195,51,157.0
396,124.13.137.60,1,0.0
397,124.13.158.198,2,5.0
398,124.13.23.99,1,0.0
399,124.13.24.154,1,0.0
400,124.13.40.57,33,241.0
401,124.13.87.165,1,0.0
402,124.13.97.55,2,1.0
403,124.82.42.90,6,42.0
404,124.82.49.222,6,7305.0
405,124.82.66.122,1,0.0
406,124.82.92.153,2,3.0
407,128.199.84.115,7,1031.0
408,139.162.55.179,1,0.0
409,14.1.200.28,1,0.0
410,14.1.200.99,1,0.0
411,14.1.201.203,1,0.0
412,14.1.205.234,1,0.0
413,14.1.206.223,1,0.0
414,14.1.213.64,1,0.0
415,14.1.224.140,1,0.0
416,14.1.224.175,1,0.0
417,14.192.208.115,1,0.0
418,14.192.208.131,1,0.0
419,14.192.208.150,3,20.0
420,14.192.208.212,1,0.0
421,14.192.209.0,2,4.0
422,14.192.209.21,1,0.0
423,14.192.209.22,2,4.0
424,14.192.209.38,2,2.0
425,14.192.212.113,52,1906.0
426,14.192.212.164,1,0.0
427,14.192.212.208,2,8.0
428,14.192.213.11,2,6.0
429,14.192.213.140,2,2.0
430,14.192.213.142,1,0.0
431,14.192.213.99,97,1592.0
432,14.192.215.45,2,4.0
433,14.192.216.159,1,0.0
434,14.192.216.18,2,3.0
435,14.192.216.223,110,12007.0
436,14.192.216.96,2,3.0
437,14.192.217.173,1,0.0
438,14.192.217.67,36,494.0
439,14.192.220.203,1,0.0
440,14.192.220.238,1,0.0
441,14.192.221.222,1,0.0
442,147.158.145.0,4,2605.0
443,147.158.146.43,37,191141.0
444,147.158.158.195,1,0.0
445,147.158.166.6,4,36.0
446,147.158.195.116,64,1476.0
447,147.158.209.218,91,184972.0
448,147.158.214.90,1,0.0
449,147.158.227.81,1,0.0
450,147.158.245.52,53,150992.0
451,147.158.73.203,1,0.0
452,157.55.39.80,1,0.0
453,161.142.186.204,2,1.0
454,161.142.213.148,4,10.0
455,161.142.221.249,66,407.0
456,161.142.225.202,2,2.0
457,161.142.235.161,1,0.0
458,167.88.62.86,1,0.0
459,173.252.107.1,1,0.0
460,173.252.107.10,2,307468.0
461,173.252.107.11,1,0.0
462,173.252.107.117,3,25391.0
463,173.252.107.119,3,251293.0
464,173.252.107.12,1,0.0
465,173.252.107.120,1,0.0
466,173.252.107.14,5,357334.0
467,173.252.107.15,1,0.0
468,173.252.107.16,1,0.0
469,173.252.107.17,2,1.0
470,173.252.107.18,1,0.0
471,173.252.107.2,2,25392.0
472,173.252.107.20,1,0.0
473,173.252.107.22,4,56881.0
474,173.252.107.3,2,2.0
475,173.252.107.4,1,0.0
476,173.252.107.5,2,105606.0
477,173.252.107.6,2,25388.0
478,173.252.107.7,2,195550.0
479,173.252.107.8,1,0.0
480,173.252.107.9,1,0.0
481,173.252.111.1,2,27011.0
482,173.252.111.10,1,0.0
483,173.252.111.11,3,169468.0
484,173.252.111.111,1,0.0
485,173.252.111.112,2,1.0
486,173.252.111.117,2,210676.0
487,173.252.111.119,5,75211.0
488,173.252.111.12,2,27010.0
489,173.252.111.120,1,0.0
490,173.252.111.13,1,0.0
491,173.252.111.14,1,0.0
492,173.252.111.16,1,0.0
493,173.252.111.17,4,66030.0
494,173.252.111.19,2,15419.0
495,173.252.111.2,1,0.0
496,173.252.111.20,2,99030.0
497,173.252.111.21,1,0.0
498,173.252.111.23,3,254379.0
499,173.252.111.24,1,0.0
500,173.252.111.3,1,0.0
501,173.252.111.4,2,75211.0
502,173.252.111.5,1,0.0
503,173.252.111.6,3,91905.0
504,173.252.111.8,3,227370.0
505,173.252.111.9,3,43704.0
506,173.252.127.120,1,0.0
507,173.252.127.16,1,0.0
508,173.252.127.17,1,0.0
509,173.252.127.2,3,115.0
510,173.252.127.24,1,0.0
511,173.252.127.28,1,0.0
512,173.252.127.5,1,0.0
513,173.252.127.9,1,0.0
514,173.252.79.10,2,1.0
515,173.252.79.11,3,303318.0
516,173.252.79.117,1,0.0
517,173.252.79.118,2,65605.0
518,173.252.79.119,2,1.0
519,173.252.79.12,1,0.0
520,173.252.79.120,3,303320.0
521,173.252.79.13,1,0.0
522,173.252.79.15,3,315581.0
523,173.252.79.16,1,0.0
524,173.252.79.2,1,0.0
525,173.252.79.21,2,237713.0
526,173.252.79.23,3,303317.0
527,173.252.79.24,1,0.0
528,173.252.79.25,1,0.0
529,173.252.79.26,1,0.0
530,173.252.79.27,2,122926.0
531,173.252.79.3,1,0.0
532,173.252.79.30,1,0.0
533,173.252.79.32,1,0.0
534,173.252.79.33,3,65607.0
535,173.252.79.34,1,0.0
536,173.252.79.35,1,0.0
537,173.252.79.36,2,65604.0
538,173.252.79.4,1,0.0
539,173.252.79.5,2,1.0
540,173.252.79.6,2,372904.0
541,173.252.79.9,4,372906.0
542,173.252.83.1,13,540861.0
543,173.252.83.10,4,366429.0
544,173.252.83.11,5,566615.0
545,173.252.83.111,4,130776.0
546,173.252.83.112,6,347961.0
547,173.252.83.113,1,0.0
548,173.252.83.116,4,28545.0
549,173.252.83.117,8,102416.0
550,173.252.83.118,6,555988.0
551,173.252.83.119,13,555992.0
552,173.252.83.12,3,450536.0
553,173.252.83.120,10,522315.0
554,173.252.83.13,3,441634.0
555,173.252.83.14,2,516122.0
556,173.252.83.15,6,476761.0
557,173.252.83.16,7,516139.0
558,173.252.83.17,13,357905.0
559,173.252.83.18,9,540852.0
560,173.252.83.19,7,477659.0
